user_id,item_id,event_type,rating,timestamp,device,session_id,name,category,price,brand,rating_avg,popularity_score,created_at,user_activity_frequency,avg_rating_per_user,avg_rating_per_item,session_unique_items,session_interaction_count,price_bucket,is_rating_event,popularity_score_norm
U0038,P0002,click,,2026-01-19 15:50:54.003126,mobile,S3705,Product_2,Clothing,1310.82,BrandD,2.82,0.62,2026-01-20 02:06:43,19,3.3333333333333335,2.2857142857142856,2,2,medium,0,0.62
U0010,P0029,rating,4.0,2026-01-19 05:12:45.003126,mobile,S9332,Product_29,Electronics,553.27,BrandC,3.06,0.83,2026-01-20 02:06:43,19,2.5714285714285716,2.857142857142857,2,2,medium,1,0.83
U0028,P0011,purchase,,2026-01-19 11:23:13.003126,web,S2355,Product_11,Electronics,636.25,BrandC,1.63,0.33,2026-01-20 02:06:43,31,3.4285714285714284,3.0,1,1,medium,0,0.33
U0045,P0002,purchase,,2026-01-19 12:07:57.003126,web,S9717,Product_2,Clothing,1310.82,BrandD,2.82,0.62,2026-01-20 02:06:43,23,2.5,2.2857142857142856,1,1,medium,0,0.62
U0014,P0023,view,,2026-01-19 06:39:50.003126,mobile,S4570,Product_23,Electronics,4672.24,BrandB,3.18,0.87,2026-01-20 02:06:43,16,2.5,2.8333333333333335,1,1,high,0,0.87
U0017,P0002,purchase,,2026-01-19 01:34:30.003126,web,S1550,Product_2,Clothing,1310.82,BrandD,2.82,0.62,2026-01-20 02:06:43,14,1.0,2.2857142857142856,1,1,medium,0,0.62
U0025,P0018,purchase,,2026-01-19 05:39:00.003126,mobile,S6565,Product_18,Electronics,4214.86,BrandA,2.13,0.81,2026-01-20 02:06:43,27,3.3333333333333335,2.4166666666666665,1,1,high,0,0.81
U0021,P0023,purchase,,2026-01-20 00:03:33.003126,mobile,S7258,Product_23,Electronics,4672.24,BrandB,3.18,0.87,2026-01-20 02:06:43,25,2.875,2.8333333333333335,3,3,high,0,0.87
U0024,P0017,view,,2026-01-19 05:24:04.003126,mobile,S1051,Product_17,Clothing,315.76,BrandA,1.23,0.29,2026-01-20 02:06:43,15,2.5,1.8,1,1,low,0,0.29
U0022,P0005,purchase,,2026-01-19 05:38:21.003126,web,S9665,Product_5,Electronics,1691.5,BrandB,2.13,0.45,2026-01-20 02:06:43,19,3.3333333333333335,3.875,1,1,medium,0,0.45
U0039,P0014,rating,2.0,2026-01-19 05:15:14.003126,web,S6601,Product_14,Books,419.56,BrandD,4.33,0.67,2026-01-20 02:06:43,30,2.625,2.5714285714285716,1,1,low,1,0.67
U0029,P0019,click,,2026-01-19 15:36:32.003126,web,S2760,Product_19,Sports,2663.91,BrandA,1.94,0.64,2026-01-20 02:06:43,13,2.3333333333333335,2.875,2,2,high,0,0.64
U0006,P0011,click,,2026-01-19 22:07:06.003126,mobile,S9543,Product_11,Electronics,636.25,BrandC,1.63,0.33,2026-01-20 02:06:43,16,4.666666666666667,3.0,1,1,medium,0,0.33
U0026,P0019,view,,2026-01-19 04:55:41.003126,mobile,S1357,Product_19,Sports,2663.91,BrandA,1.94,0.64,2026-01-20 02:06:43,22,1.75,2.875,1,1,high,0,0.64
U0026,P0027,view,,2026-01-19 09:14:17.003126,mobile,S5420,Product_27,Sports,2354.86,BrandC,3.25,0.29,2026-01-20 02:06:43,22,1.75,3.0,1,1,high,0,0.29
U0014,P0028,rating,2.0,2026-01-19 03:38:02.003126,web,S7912,Product_28,Electronics,886.06,BrandC,2.66,0.45,2026-01-20 02:06:43,16,2.5,2.8333333333333335,1,1,medium,1,0.45
U0049,P0022,purchase,,2026-01-19 17:23:29.003126,web,S9539,Product_22,Sports,183.22,BrandD,2.57,0.12,2026-01-20 02:06:43,31,3.0,2.8,2,2,low,0,0.12
U0042,P0014,rating,2.0,2026-01-19 21:06:55.003126,web,S2850,Product_14,Books,419.56,BrandD,4.33,0.67,2026-01-20 02:06:43,21,3.5,2.5714285714285716,1,1,low,1,0.67
U0036,P0018,click,,2026-01-19 12:42:48.003126,mobile,S5525,Product_18,Electronics,4214.86,BrandA,2.13,0.81,2026-01-20 02:06:43,22,3.111111111111111,2.4166666666666665,1,1,high,0,0.81
